id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
32717018,GREAT LOCATION-FISHERMAN'S WHARF W/KITCHEN slps4,64646820,Michelle,,Russian Hill,37.80519,-122.42037,Entire home/apt,189,2,10,2020-03-11,0.67,38,18
32717493,NEAR FISHERMAN'S WHARF AND PIER 39-sleeps 4,64646820,Michelle,,Russian Hill,37.80628,-122.42017,Entire home/apt,189,1,9,2020-03-12,0.61,38,0
32723815,Secret garden in the Castro,6961330,Ron,,Castro/Upper Market,37.76396,-122.43568,Entire home/apt,250,3,39,2020-03-09,2.67,1,127
32724526,Clean and cozy private entrance and private bath,21567505,Jody,,Glen Park,37.73831,-122.42768,Entire home/apt,95,2,78,2020-05-15,5.12,1,194
32725950,New renovated 1 BR steps to UCSF with deck & views,541068,Susheela,,Inner Sunset,37.76416,-122.4592,Entire home/apt,195,3,41,2020-02-17,2.73,1,319
32726099,Lovely In-Law on Bernal Hill,7167269,Melissa,,Bernal Heights,37.74064,-122.41407,Entire home/apt,140,2,36,2020-03-13,2.39,1,94
32727287,Simple + Clean Apt on Ocean Ave.,65800040,Pam,,Ocean View,37.72042,-122.45838,Entire home/apt,160,1,20,2020-01-18,1.47,2,269
32727389,Heart of Bernal Heights,237131831,Jennifer And Nick,,Bernal Heights,37.74018,-122.4173,Entire home/apt,150,2,32,2020-02-09,2.46,1,87
32740903,Modern Minimalism with a View,669175,Michael,,Bernal Heights,37.74636,-122.40856,Entire home/apt,275,3,10,2020-03-08,0.68,1,0
32744842,Beautiful 3Br 2.5 Bath Edwardian,15131298,Geordie,,Outer Richmond,37.77445,-122.50441,Entire home/apt,350,3,18,2019-09-12,1.27,1,91
32745068,Private Space Near Golden Gate Park,20767323,Roy & Annie,,Inner Sunset,37.76293,-122.46884,Entire home/apt,139,3,57,2020-03-19,3.80,1,49
32746725,Sutro Heights Executive Suite & Private Entrance,1984693,Jackie,,Outer Richmond,37.77828,-122.5085,Entire home/apt,129,3,15,2020-03-09,1.47,2,156
32747421,Private studio-Garage room with own Bath & Shower,79715071,Raj & Yusuke,,Ocean View,37.72076,-122.45039,Entire home/apt,48,30,5,2020-02-05,0.40,6,32
32747602,Cozy 3BR with Parking in Fantastic Location!,74679017,Victoria,,Inner Richmond,37.77859,-122.47643,Entire home/apt,235,2,60,2020-03-14,4.02,1,167
32749634,Noe Valley Studio,236827734,Eamon,,Glen Park,37.74185,-122.42977,Entire home/apt,125,30,0,,,1,180
32750134,Breezy Sun Room with Private Bath San Francisco,79715071,Raj & Yusuke,,Outer Richmond,37.77874,-122.4864,Entire home/apt,39,30,5,2019-11-21,0.32,6,41
32766126,Queen Anne Victorian Month Minimum Apartment! New!,3336200,Michael,,Haight Ashbury,37.77084,-122.44908,Entire home/apt,179,30,0,,,3,157
32766699,Marina luxury flat (marina/cow hollow),28996560,Otto,,Marina,37.80359,-122.4442,Entire home/apt,283,30,1,2020-03-31,0.43,3,311
32769581,Cozy Neighborhood Charm in the City,4661428,Eric,,Outer Mission,37.73184,-122.44322,Entire home/apt,300,30,1,2019-07-29,0.09,1,82
32770430,Bright Spacious 2 Bedroom Parkside Free Parking,81513590,Nejdeh,,Parkside,37.74333,-122.47939,Entire home/apt,199,30,31,2020-04-04,2.06,1,85
32783075,Newly Furnished apt in  a quiet neighborhood,10577964,John,,Outer Mission,37.73165,-122.44107,Entire home/apt,150,30,3,2020-04-30,0.24,1,177
32784631,Nopa 3 bedroom apartment,10501924,Karen,,Western Addition,37.78008,-122.4417,Entire home/apt,165,30,0,,,4,268
32786479,Nob Hill Hideaway-  private backyard and courtyrd,3286522,Tyler,,Nob Hill,37.79013,-122.41684,Private room,155,2,1,2019-03-15,0.07,2,0
